var,coef,stderr,ci_lower,ci_upper,N,r2,outcome,command,year
1.hci#1976.year,.16273229,.098587401,-.03138876685581,.3568533433385829,4220,.8963550707229831,l_stock_tot,reghdfe,1976
1.hci#1977.year,.19118384,.10869567,-.0228406554119875,.4052083259480287,4220,.8963550707229831,l_stock_tot,reghdfe,1977
1.hci#1978.year,.28265214,.11813046,.0500503129938158,.5152539663335768,4220,.8963550707229831,l_stock_tot,reghdfe,1978
1.hci#1979.year,.44553775,.12289283,.2035586862081642,.6875168056970482,4220,.8963550707229831,l_stock_tot,reghdfe,1979
1.hci#1980.year,.43199915,.18170527,.0742169398274175,.7897813540492304,4220,.8963550707229831,l_stock_tot,reghdfe,1980
1.hci#1981.year,.37941539,.1827293,.0196168301570082,.7392139555943346,4220,.8963550707229831,l_stock_tot,reghdfe,1981
1.hci#1982.year,.48506585,.14009306,.2092191170781551,.7609125781923832,4220,.8963550707229831,l_stock_tot,reghdfe,1982
1.hci#1983.year,.4361248,.18545203,.0709651248590816,.8012844784124027,4220,.8963550707229831,l_stock_tot,reghdfe,1983
1.hci#1984.year,.57402086,.14915586,.2803292587283233,.8677124664303681,4220,.8963550707229831,l_stock_tot,reghdfe,1984
1.hci#1985.year,.62953526,.15249807,.3292627565528921,.9298077590797373,4220,.8963550707229831,l_stock_tot,reghdfe,1985
1.hci#1986.year,.64575326,.16099808,.3287440316380471,.9627624972163231,4220,.8963550707229831,l_stock_tot,reghdfe,1986
